ID: 1, fecha: 2025-06-18 14:03:42, temp: 20.0°C, humedad: 16.0, gas: 303.0
ID: 2, fecha: 2025-06-18 14:03:46, temp: 20.0°C, humedad: 16.0, gas: 288.0
ID: 3, fecha: 2025-06-18 14:03:54, temp: 20.0°C, humedad: 16.0, gas: 301.0
ID: 4, fecha: 2025-06-18 14:03:58, temp: 20.0°C, humedad: 16.0, gas: 277.0
ID: 5, fecha: 2025-06-18 14:13:08, temp: 20.0°C, humedad: 16.0, gas: 264.0
ID: 6, fecha: 2025-06-18 14:13:16, temp: 20.0°C, humedad: 16.0, gas: 297.0
ID: 7, fecha: 2025-06-18 14:13:24, temp: 20.0°C, humedad: 16.0, gas: 305.0
ID: 8, fecha: 2025-06-18 14:13:43, temp: 20.0°C, humedad: 16.0, gas: 293.0
ID: 9, fecha: 2025-06-18 14:13:47, temp: 20.0°C, humedad: 16.0, gas: 298.0
ID: 10, fecha: 2025-06-18 14:13:55, temp: 20.0°C, humedad: 16.0, gas: 304.0
ID: 11, fecha: 2025-06-18 14:42:46, temp: 20.0°C, humedad: 16.0, gas: 299.0
ID: 12, fecha: 2025-06-18 14:42:50, temp: 20.0°C, humedad: 16.0, gas: 308.0
ID: 13, fecha: 2025-06-18 14:42:54, temp: 20.0°C, humedad: 16.0, gas: 298.0
ID: 14, fecha: 2025-06-18 14:42:57, temp: 21.0°C, humedad: 15.0, gas: 299.0
ID: 15, fecha: 2025-06-18 14:43:01, temp: 21.0°C, humedad: 15.0, gas: 305.0
ID: 16, fecha: 2025-06-18 14:43:05, temp: 20.0°C, humedad: 16.0, gas: 281.0
ID: 17, fecha: 2025-06-18 14:43:09, temp: 20.0°C, humedad: 16.0, gas: 312.0
ID: 18, fecha: 2025-06-18 15:09:14, temp: 21.0°C, humedad: 15.0, gas: 307.0
ID: 19, fecha: 2025-06-18 15:09:15, temp: 21.0°C, humedad: 15.0, gas: 307.0
ID: 20, fecha: 2025-06-18 15:09:19, temp: 20.0°C, humedad: 16.0, gas: 368.0
ID: 21, fecha: 2025-06-18 15:09:20, temp: 20.0°C, humedad: 16.0, gas: 368.0
ID: 22, fecha: 2025-06-18 15:09:24, temp: 20.0°C, humedad: 16.0, gas: 378.0
ID: 23, fecha: 2025-06-18 15:09:25, temp: 20.0°C, humedad: 16.0, gas: 378.0
